subject,session_index,rep,H.percent,UD.percent.e,DD.percent.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
wiktoria,1,29,0.10244,1.55242,1.65585,0.11112,0.30903,0.42015,0.09472,0.09598,0.19152,0.08699,0.94418,1.03216,0.11339,0.63281,0.74811,0.08723,0.26805,0.35628,0.08719,0.15978,0.24697,0.08712,0.90415,0.99261,0.09453,0.20038,0.29605,0.10251,0.32101,0.42452,0.07879
adam,1,1,0.09555,0.46014,0.55569,0.10692,0.13137,0.23939,0.10523,0.10518,0.20941,0.07,1.05626,1.12727,0.10752,0.20441,0.31193,0.0748,0.40062,0.47638,0.08699,0.09891,0.18691,0.09142,0.09662,0.18867,0.09466,0.14021,0.23687,0.06214,0.11522,0.17835,0.10921
adam,1,2,0.05927,0.29684,0.35611,0.08586,0.26476,0.35161,0.09824,0.05258,0.15182,0.06707,0.36805,0.43557,0.09617,0.26409,0.36026,0.09179,0.16337,0.25616,0.07061,0.24096,0.31256,0.07872,0.39179,0.47102,0.07446,0.15624,0.23171,0.06471,0.09929,0.16401,0.09527
adam,1,3,0.07555,0.51553,0.59108,0.08058,0.24744,0.32802,0.07552,0.54458,0.62069,0.07501,0.2123,0.28831,0.08983,0.30864,0.39947,0.08837,0.15981,0.24818,0.06231,0.136,0.19931,0.09946,0.18393,0.28438,0.07606,0.14494,0.221,0.07035,0.19266,0.26301,0.0884
adam,1,4,0.06234,0.14822,0.21136,0.09647,0.2077,0.30517,0.08186,0.07327,0.15609,0.07809,0.34817,0.42708,0.0911,0.25943,0.35153,0.08039,0.15193,0.23233,0.06453,0.21072,0.27525,0.10452,0.21165,0.31716,0.08607,0.12538,0.21248,0.07065,0.11623,0.18688,0.08728
adam,1,5,0.08153,0.18929,0.2716,0.0871,0.33669,0.42421,0.08198,0.09585,0.17878,0.07625,0.70463,0.78088,0.08742,0.36289,0.45131,0.08747,0.19613,0.28416,0.05421,0.20876,0.26497,0.10322,2.97177,3.07499,0.08322,0.1281,0.21233,0.05899,0.06277,0.12275,0.09192
adam,1,6,0.0628,0.17596,0.23877,0.08808,1.06442,1.1525,0.08237,0.24053,0.3239,0.06654,0.45594,0.52349,0.08433,0.29643,0.38076,0.08758,0.14074,0.22831,0.06761,0.11571,0.18332,0.07868,0.21597,0.29566,0.06388,0.17197,0.23585,0.05885,0.11609,0.17594,0.08074
adam,1,7,0.07632,0.272,0.34831,0.09488,0.18864,0.28452,0.0862,0.1251,0.21231,0.08317,1.33215,1.41533,0.09456,0.76899,0.86449,0.08619,0.17305,0.26024,0.05917,0.16794,0.22711,0.0883,0.16812,0.25642,0.07921,0.12456,0.20377,0.07159,0.07996,0.15155,0.10667
adam,1,8,0.08201,0.34514,0.42814,0.09539,0.2441,0.33949,0.08198,0.11305,0.19603,0.08252,0.55651,0.64003,0.09949,0.21579,0.31571,0.09244,0.14723,0.23966,0.07311,0.12316,0.19626,0.08739,0.19157,0.27997,0.096,0.11908,0.21547,0.07246,0.09956,0.17202,0.10328
adam,1,9,0.0803,0.21945,0.29975,0.09127,0.27581,0.36808,0.07631,0.07631,0.15262,0.08378,0.60413,0.68791,0.09643,0.35974,0.45716,0.09551,0.17207,0.26758,0.06805,0.12001,0.18806,0.08993,0.177,0.26794,0.0871,0.13106,0.21917,0.07281,0.08794,0.16075,0.10308
adam,1,10,0.07588,0.19549,0.27237,0.10095,0.23596,0.3369,0.08191,0.093,0.17593,0.0762,0.95946,1.03566,0.09912,0.18063,0.28061,0.09551,0.16727,0.26376,0.06412,0.21163,0.27575,0.09523,0.2408,0.337,0.07949,0.13156,0.21105,0.06286,0.14424,0.2081,0.10293
