subject,session_index,rep,H.dot,UD.dot.e,DD.dot.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,9,114,0.08773,0.03186,0.12059,0.07535,0.12445,0.1998,0.07893,0.0151,0.09503,0.06439,0.13261,0.197,0.10824,0.4077,0.51594,0.07538,0.06497,0.14035,0.0837,0.02387,0.10757,0.0753,0.10453,0.17983,0.07615,0.15637,0.23252,0.06688,0.03312,0.1,0.096
kasia,9,115,0.08741,0.03944,0.12685,0.08358,0.1194,0.20444,0.08694,0.02406,0.11201,0.06332,0.66418,0.72846,0.07878,0.26847,0.34824,0.08652,0.03284,0.12023,0.06675,0.03746,0.10421,0.09583,0.09985,0.19568,0.07564,0.2045,0.28014,0.06283,0.04922,0.11205,0.08823
kasia,9,116,0.10416,0.032,0.13615,0.08354,0.16898,0.25252,0.0913,0.04456,0.13586,0.0675,0.08841,0.15591,0.0795,0.42941,0.50891,0.0511,0.11971,0.17081,0.07122,0.02473,0.09595,0.09217,0.09615,0.18833,0.11547,0.1245,0.23997,0.07575,0.04378,0.11953,0.10021
kasia,9,117,0.09163,0.07131,0.16295,0.07948,0.12386,0.20434,0.07962,0.06895,0.14857,0.07914,0.05143,0.13196,0.075,0.64882,0.72381,0.08371,0.10061,0.18432,0.06777,0.05507,0.12283,0.08736,0.08866,0.17698,0.10266,0.1605,0.26413,0.06699,0.06472,0.13171,0.10673
kasia,9,118,0.0781,0.05598,0.13459,0.07968,0.11551,0.19619,0.06293,0.05517,0.12005,0.06764,0.06839,0.13604,0.08771,0.5123,0.60001,0.07125,0.10435,0.17559,0.07989,0.03614,0.11603,0.07645,0.11584,0.1923,0.08738,0.14754,0.23634,0.06712,0.04852,0.11565,0.09469
kasia,9,119,0.07552,0.08058,0.15609,0.07992,0.11616,0.19608,0.09176,0.00751,0.09928,0.0755,0.08751,0.16401,0.11256,0.37938,0.49194,0.05988,0.12063,0.18051,0.07231,0.04327,0.11559,0.07889,0.08009,0.15992,0.07531,0.18448,0.26079,0.05882,0.03258,0.09139,0.0763
kasia,9,120,0.07927,0.04782,0.12808,0.06767,0.12867,0.19634,0.0914,0.04858,0.13997,0.07171,0.06012,0.13183,0.06821,0.25208,0.32029,0.06322,0.08485,0.14806,0.07143,0.08443,0.15585,0.07554,0.11586,0.1914,0.10037,0.12822,0.22859,0.07156,0.03199,0.10356,0.09621
kasia,9,121,0.08102,0.091,0.17202,0.06377,0.12807,0.1928,0.09209,0.04357,0.13566,0.06817,0.07569,0.14386,0.12081,0.40787,0.52868,0.09937,0.04867,0.14803,0.05934,0.04831,0.10765,0.08393,0.0847,0.16862,0.11554,0.13541,0.25096,0.06809,0.03555,0.10464,0.07173
kasia,9,122,0.08434,0.11184,0.19619,0.08406,0.11209,0.19615,0.09987,0.05955,0.15942,0.08712,0.02749,0.11561,0.10357,0.38824,0.49281,0.46789,0.07964,0.04457,0.01515,0.05206,0.11178,0.08786,0.0957,0.18455,0.09974,0.11159,0.21183,0.05547,0.05702,0.11249,0.12271
kasia,9,123,0.08696,0.03593,0.1241,0.07136,0.12451,0.19688,0.06333,0.04409,0.10743,0.07893,0.15618,0.23611,0.09673,0.16689,0.26362,0.2711,0.10421,0.02772,0.05906,0.07221,0.15999,0.07999,0.06509,0.14508,0.08993,0.13314,0.22352,0.08336,0.02011,0.10347,0.12434
kasia,9,124,0.08267,0.02055,0.10432,0.12429,0.12792,0.25221,0.07181,0.02445,0.09627,0.08694,0.09614,0.18347,0.12627,0.10808,0.23536,0.18465,0.07657,0.03585,0.04078,0.07187,0.1485,0.08666,0.07606,0.16371,0.10365,0.11571,0.21937,0.07106,0.02518,0.09724,0.09898
kasia,9,125,0.10366,0.07199,0.17616,0.0796,0.11225,0.19184,0.0753,0.04032,0.11562,0.08726,0.08355,0.17181,0.0912,0.7046,0.7968,0.08784,0.09175,0.17958,0.08421,0.03967,0.12388,0.06673,0.12406,0.19175,0.10763,0.15985,0.26848,0.06334,0.09678,0.16013,0.10374
